"Trade flow","Year","Period","Tariff heading","Key","Key - text","Land","Quantity (kg)","Value (CHF)"
"IMP","2022","01_January","7108.1200","914","less than 99.5% of gold","Singapore","87","4'232'645"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Senegal","1'067","50'198'410"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Saudi Arabia","1'679","59'522'387"
"IMP","2022","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Russia","3'536","191'026'945"
"IMP","2022","01_January","7108.1200","913","at least 99.5% of gold, for other uses","Russia","502","27'144'803"
"IMP","2022","01_January","7108.1200","914","less than 99.5% of gold","Romania","36","1'173'352"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Philippines","1'216","35'846'727"
"IMP","2022","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Philippines","240","12'957'005"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Peru","16'808","181'529'159"
"IMP","2022","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Peru","350","18'813'853"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Panama","23","876'143"
"IMP","2022","01_January","7108.1200","914","less than 99.5% of gold","Panama","22","852'181"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Oman","393","604'930"
"IMP","2022","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Norway","201","10'869'915"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Nigeria","255","12'834'404"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Nicaragua","1'635","16'062'638"
"IMP","2022","01_January","7108.1200","913","at least 99.5% of gold, for other uses","Netherlands","70","3'850'693"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Morocco","96","932'154"
"IMP","2022","01_January","7108.1200","914","less than 99.5% of gold","Mongolia","1'287","59'159'526"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Mexico","3'470","57'723'839"
"IMP","2022","01_January","7108.1200","914","less than 99.5% of gold","Mexico","420","11'350'581"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Mali","1'181","58'070'766"
"IMP","2022","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Malaysia","43","2'260'991"
"IMP","2022","01_January","7108.1200","914","less than 99.5% of gold","Malaysia","86","3'998'803"
"IMP","2022","01_January","7108.1200","914","less than 99.5% of gold","Luxembourg","5","221'219"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Liberia","1'027","45'347'638"
"IMP","2022","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Lebanon","342","18'450'573"
"IMP","2022","01_January","7108.1200","914","less than 99.5% of gold","Lebanon","371","18'360'255"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Laos","2'004","15'782'496"
"IMP","2022","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Korea (South)","76","4'000'262"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Kenya","20","845'498"
"IMP","2022","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Japan","1'417","75'672'613"
"IMP","2022","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Italy","173","9'310'248"
"IMP","2022","01_January","7108.1200","913","at least 99.5% of gold, for other uses","Italy","163","8'876'696"
"IMP","2022","01_January","7108.1200","914","less than 99.5% of gold","Italy","472","19'236'970"
"IMP","2022","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Hong Kong","238","13'137'842"
"IMP","2022","01_January","7108.1200","913","at least 99.5% of gold, for other uses","Hong Kong","124","7'402'631"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Guinea","895","42'594'501"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Ghana","6'332","301'896'263"
"IMP","2022","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Germany","594","30'695'417"
"IMP","2022","01_January","7108.1200","913","at least 99.5% of gold, for other uses","Germany","3","158'871"
"IMP","2022","01_January","7108.1200","914","less than 99.5% of gold","Germany","1'811","56'071'410"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Georgia","211","6'165'230"
"IMP","2022","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","France","176","9'210'797"
"IMP","2022","01_January","7108.1200","914","less than 99.5% of gold","France","713","16'137'971"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Finland","671","33'472'158"
"IMP","2022","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Finland","843","45'753'832"
"IMP","2022","01_January","7108.1200","914","less than 99.5% of gold","Estonia","2","62'405"
"IMP","2022","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Emirates, Arab","10'089","546'932'535"
"IMP","2022","01_January","7108.1200","913","at least 99.5% of gold, for other uses","Emirates, Arab","28","1'530'530"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Ecuador","593","22'055'610"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Dominican Rep.","8'331","114'326'098"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Côte d'Ivoire","1'848","61'161'257"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Chile","8'802","45'867'103"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Canada","1'887","52'529'110"
"IMP","2022","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Canada","835","45'215'025"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Burkina Faso","5'473","249'520'679"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Brazil","1'082","46'418'374"
"IMP","2022","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Belgium","285","13'675'759"
"IMP","2022","01_January","7108.1200","913","at least 99.5% of gold, for other uses","Belgium","9","524'041"
"IMP","2022","01_January","7108.1200","914","less than 99.5% of gold","Belgium","51","1'967'240"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Azerbaijan","224","7'011'216"
"IMP","2022","01_January","7108.1200","913","at least 99.5% of gold, for other uses","Austria","37","2'048'653"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Australia","3'899","13'283'133"
"IMP","2022","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Australia","24","1'298'125"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Argentina","11'727","74'423'214"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","_ALL","90'262","1'939'922'689"
"IMP","2022","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","_ALL","37'617","2'028'435'213"
"IMP","2022","01_January","7108.1200","913","at least 99.5% of gold, for other uses","_ALL","44'984","2'428'447'899"
"IMP","2022","01_January","7108.1200","914","less than 99.5% of gold","_ALL","6'097","224'478'745"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","USA","5'779","277'338'561"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","USA","11","388'183"
"IMP","2021","01_January","7108.1200","913","at least 99.5% of gold, for other uses","USA","11","613'663"
"IMP","2021","01_January","7108.1200","914","less than 99.5% of gold","USA","2","3'920"
"IMP","2021","01_January","7108.1200","913","at least 99.5% of gold, for other uses","United Kingdom","18'238","972'761'967"
"IMP","2021","01_January","7108.1200","914","less than 99.5% of gold","United Kingdom","111","2'470'907"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Turkey","1'000","55'488'988"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Tanzania","2'543","93'759'528"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Taiwan","75","3'966'363"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Sweden","93","4'149'971"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Sweden","0","31'387"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Suriname","1'297","64'290'779"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Spain","114","2'731'055"
"IMP","2021","01_January","7108.1200","914","less than 99.5% of gold","Spain","90","3'480'764"
"IMP","2021","01_January","7108.1200","913","at least 99.5% of gold, for other uses","South Africa","4'514","245'043'091"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Singapore","9","512'585"
"IMP","2021","01_January","7108.1200","913","at least 99.5% of gold, for other uses","Singapore","110","6'035'342"
"IMP","2021","01_January","7108.1200","914","less than 99.5% of gold","Singapore","159","7'857'534"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Senegal","1'017","49'002'685"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Saudi Arabia","1'573","57'557'333"
"IMP","2021","01_January","7108.1200","914","less than 99.5% of gold","Saudi Arabia","107","4'999'218"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Russia","101","5'405'343"
"IMP","2021","01_January","7108.1200","914","less than 99.5% of gold","Romania","47","1'536'708"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Portugal","20","1'052'223"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Philippines","1'112","35'408'361"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Philippines","300","16'339'073"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Peru","9'472","127'259'880"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Peru","227","12'211'591"
"IMP","2021","01_January","7108.1200","914","less than 99.5% of gold","Panama","26","872'626"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Norway","170","9'191'242"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Nicaragua","1'112","10'875'806"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Morocco","114","721'987"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Mongolia","506","23'137'034"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Mexico","2'773","40'484'965"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Mexico","603","32'001'494"
"IMP","2021","01_January","7108.1200","914","less than 99.5% of gold","Mexico","549","14'746'901"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Mali","2'786","137'476'663"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Malaysia","58","3'026'559"
"IMP","2021","01_January","7108.1200","914","less than 99.5% of gold","Malaysia","106","3'944'511"
"IMP","2021","01_January","7108.1200","913","at least 99.5% of gold, for other uses","Luxembourg","205","10'823'450"
"IMP","2021","01_January","7108.1200","914","less than 99.5% of gold","Luxembourg","19","772'272"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Liberia","477","23'876'802"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Lebanon","94","5'040'924"
"IMP","2021","01_January","7108.1200","914","less than 99.5% of gold","Lebanon","324","16'383'587"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Korea (South)","57","3'016'449"
"IMP","2021","01_January","7108.1200","914","less than 99.5% of gold","Jordan","176","7'822'719"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Japan","1'330","73'851'390"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Italy","297","13'690'805"
"IMP","2021","01_January","7108.1200","913","at least 99.5% of gold, for other uses","Italy","5'118","277'203'843"
"IMP","2021","01_January","7108.1200","914","less than 99.5% of gold","Italy","421","17'116'159"
"IMP","2021","01_January","7108.1200","914","less than 99.5% of gold","Indonesia","308","16'525'283"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Hong Kong","2'967","160'544'596"
"IMP","2021","01_January","7108.1200","913","at least 99.5% of gold, for other uses","Hong Kong","3'219","173'273'887"
"IMP","2021","01_January","7108.1200","914","less than 99.5% of gold","Hong Kong","985","2'930'600"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Guinea","286","13'223'607"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Guiana, French","23","1'188'208"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Ghana","4'947","232'415'928"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Germany","1'724","65'779'749"
"IMP","2021","01_January","7108.1200","913","at least 99.5% of gold, for other uses","Germany","25","1'323'586"
"IMP","2021","01_January","7108.1200","914","less than 99.5% of gold","Germany","808","25'270'030"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Georgia","192","5'380'168"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","France","169","8'959'814"
"IMP","2021","01_January","7108.1200","914","less than 99.5% of gold","France","199","7'879'363"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Finland","829","41'367'804"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Finland","1'135","60'472'688"
"IMP","2021","01_January","7108.1200","914","less than 99.5% of gold","Estonia","2","51'590"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Emirates, Arab","6'887","379'240'130"
"IMP","2021","01_January","7108.1200","913","at least 99.5% of gold, for other uses","Emirates, Arab","5","260'338"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Ecuador","461","16'777'386"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Ecuador","20","457'149"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Dominican Rep.","5'079","106'992'803"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Côte d'Ivoire","2'425","85'165'577"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Colombia","2'844","56'126'355"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","China","407","20'559'528"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Chile","11'359","65'014'198"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Chile","151","8'103'389"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Canada","3'878","143'875'829"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Burkina Faso","6'108","278'140'963"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Brazil","1'489","66'689'224"
"IMP","2021","01_January","7108.1200","914","less than 99.5% of gold","Brazil","50","2'336'584"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Belgium","76","4'005'577"
"IMP","2021","01_January","7108.1200","913","at least 99.5% of gold, for other uses","Belgium","200","10'930'931"
"IMP","2021","01_January","7108.1200","914","less than 99.5% of gold","Belgium","42","1'559'301"
"IMP","2021","01_January","7108.1200","914","less than 99.5% of gold","Austria","39","1'199'388"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Australia","2'284","9'131'224"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Australia","416","22'548'791"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Argentina","10'190","27'119'777"
"IMP","2021","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","_ALL","83'048","2'095'958'474"
"IMP","2021","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","_ALL","18'418","966'607'997"
"IMP","2021","01_January","7108.1200","913","at least 99.5% of gold, for other uses","_ALL","31'645","1'698'270'098"
"IMP","2021","01_January","7108.1200","914","less than 99.5% of gold","_ALL","4'570","139'759'965"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","Uzbekistan","9'996","546'740'671"
"IMP","2022","02_February","7108.1200","913","at least 99.5% of gold, for other uses","Uzbekistan","19'992","1'087'067'325"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","USA","4'450","195'416'880"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","USA","6'673","372'636'667"
"IMP","2022","02_February","7108.1200","913","at least 99.5% of gold, for other uses","USA","1'055","56'787'274"
"IMP","2022","02_February","7108.1200","914","less than 99.5% of gold","USA","161","5'814'693"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","United Kingdom","8'938","494'926'419"
"IMP","2022","02_February","7108.1200","913","at least 99.5% of gold, for other uses","United Kingdom","20'066","1'083'188'589"
"IMP","2022","02_February","7108.1200","914","less than 99.5% of gold","United Kingdom","181","5'927'716"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","Ukraine","86","4'659'328"
"IMP","2022","02_February","7108.1200","913","at least 99.5% of gold, for other uses","Turkey","3","160'885"
"IMP","2022","02_February","7108.1200","914","less than 99.5% of gold","Turkey","35","1'230'190"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","Thailand","3'635","203'870'890"
"IMP","2022","02_February","7108.1200","914","less than 99.5% of gold","Thailand","1'699","93'439'217"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Tanzania","279","7'507'082"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","Taiwan","109","6'002'905"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Sweden","103","3'590'137"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","Sweden","1","62'954"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Suriname","1'240","65'805'991"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Spain","85","1'842'021"
"IMP","2022","02_February","7108.1200","913","at least 99.5% of gold, for other uses","Spain","2","109'657"
"IMP","2022","02_February","7108.1200","914","less than 99.5% of gold","Spain","67","2'791'649"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","South Africa","9","492'708"
"IMP","2022","02_February","7108.1200","913","at least 99.5% of gold, for other uses","South Africa","2'000","109'336'381"
"IMP","2022","02_February","7108.1200","914","less than 99.5% of gold","South Africa","348","14'918'741"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","Singapore","7","396'098"
"IMP","2022","02_February","7108.1200","913","at least 99.5% of gold, for other uses","Singapore","267","14'398'052"
"IMP","2022","02_February","7108.1200","914","less than 99.5% of gold","Singapore","36","1'818'876"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Senegal","1'089","50'803'084"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","Russia","1'106","60'584'254"
"IMP","2022","02_February","7108.1200","914","less than 99.5% of gold","Romania","47","1'574'440"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Philippines","1'236","35'873'621"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","Philippines","430","23'795'679"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Peru","12'730","128'217'191"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","Peru","378","20'013'579"
"IMP","2022","02_February","7108.1200","914","less than 99.5% of gold","Panama","43","1'616'000"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","Norway","192","10'518'796"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Nigeria","129","6'802'872"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Nicaragua","1'559","15'934'690"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Morocco","21","644'903"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Mongolia","959","46'526'403"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Mexico","6'897","55'807'181"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Mali","1'282","63'225'287"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","Malaysia","26","1'518'938"
"IMP","2022","02_February","7108.1200","914","less than 99.5% of gold","Malaysia","1","79'504"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","Luxembourg","1","26'594"
"IMP","2022","02_February","7108.1200","913","at least 99.5% of gold, for other uses","Luxembourg","11","619'071"
"IMP","2022","02_February","7108.1200","914","less than 99.5% of gold","Luxembourg","7","286'236"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Liberia","1'019","50'896'149"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","Lebanon","444","24'807'907"
"IMP","2022","02_February","7108.1200","914","less than 99.5% of gold","Lebanon","67","3'500'703"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","Korea (South)","599","33'954'925"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Kenya","17","733'660"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","Japan","300","16'228'381"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","Italy","224","12'472'699"
"IMP","2022","02_February","7108.1200","913","at least 99.5% of gold, for other uses","Italy","152","8'632'851"
"IMP","2022","02_February","7108.1200","914","less than 99.5% of gold","Italy","549","22'733'377"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","Indonesia","187","10'589'517"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","Hong Kong","1'002","55'371'171"
"IMP","2022","02_February","7108.1200","913","at least 99.5% of gold, for other uses","Hong Kong","124","7'453'099"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Guinea","853","37'732'247"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Guiana, French","15","811'586"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Ghana","2'340","112'830'406"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","Germany","794","44'120'364"
"IMP","2022","02_February","7108.1200","913","at least 99.5% of gold, for other uses","Germany","66","3'562'653"
"IMP","2022","02_February","7108.1200","914","less than 99.5% of gold","Germany","2'097","62'306'559"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Georgia","197","5'524'434"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","France","267","14'859'484"
"IMP","2022","02_February","7108.1200","914","less than 99.5% of gold","France","299","12'037'963"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Finland","349","17'187'428"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","Finland","974","53'662'447"
"IMP","2022","02_February","7108.1200","914","less than 99.5% of gold","Finland","137","5'123'630"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","Emirates, Arab","9'275","524'555'691"
"IMP","2022","02_February","7108.1200","913","at least 99.5% of gold, for other uses","Emirates, Arab","12","676'894"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Ecuador","692","26'179'097"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","Denmark","5","267'555"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Côte d'Ivoire","2'433","78'892'222"
"IMP","2022","02_February","7108.1200","914","less than 99.5% of gold","Czechia","2","93'351"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Colombia","185","9'020'041"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Chile","8'287","44'376'835"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","Chile","126","6'824'323"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Canada","3'074","96'793'130"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","Canada","874","48'881'986"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Burkina Faso","6'315","294'317'245"
"IMP","2022","02_February","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Brazil","751","34'342'297"
"IMP","2022","02_February","7108.1200","912","at least 99.5% of gold, for refining or other processing","Belgium","292","15'624'680"
"IMP","2022","02_February","7108.1200","913","at least 99.5% of gold, for other uses","Belgium","208","11'718'698"
